price,floors_in_the_house,floor,house_type,number_of_rooms,total_area,deadline,distance_to_nearest_metro,distance_to_center,distance_to_mkad,distance_to_green_areas,distance_to_sports_complexes,distance_to_industrial_enterprises,distance_to_treatment_facilities
33884400,19,7,монолитный ,3-комнатные ,77,2 кв. 2022 года ,400,2696,-12457,997,782,932,8213
40933100,19,10,монолитный ,3-комнатные ,110.6,2 кв. 2022 года ,400,2696,-12457,997,782,932,8213
77122200,19,15,монолитный ,3-комнатные ,151.2,2 кв. 2022 года ,400,2696,-12457,997,782,932,8213
20070900,14,3,монолитный ,3-комнатные ,76.9,1 кв. 2021 года ,900,6298,-10970,486,830,577,5847
461595000,5,4,монолитный ,3-комнатные ,310,2 кв. 2020 года ,700,1368,-12625,335,825,1475,7771
34902440,7,6,монолитный ,3-комнатные ,98,-,900,3614,-12177,735,659,334,3862
24413126,17,2,монолитный ,3-комнатные ,95.4,4 кв. 2021 года ,1200,4347,-11146,681,309,670,7224
32064870,19,8,монолитный ,3-комнатные ,99.3,3 кв. 2023 года ,600,6591,-9362,1584,1563,377,8681
29263920,19,4,монолитный ,3-комнатные ,100.5,3 кв. 2023 года ,600,6591,-9362,1584,1563,377,8681
35572490,19,10,монолитный ,3-комнатные ,102.9,3 кв. 2023 года ,600,6591,-9362,1584,1563,377,8681
27261259,17,2,монолитный ,3-комнатные ,104.3,4 кв. 2021 года ,1200,4347,-11146,681,309,670,7224
25713240,19,4,монолитный ,3-комнатные ,90.3,сдан ,600,6472,-9491,1568,1671,492,8748
28313990,19,16,монолитный ,3-комнатные ,90.5,4 кв. 2021 года ,500,6650,-9360,1517,1481,475,8550
29486200,19,8,монолитный ,3-комнатные ,92.8,сдан ,600,6472,-9491,1568,1671,492,8748
32176650,19,15,монолитный ,3-комнатные ,94.1,сдан ,600,6472,-9491,1568,1671,492,8748
34884000,8,8,монолитный ,3-комнатные ,129,-,800,2878,-12957,467,1100,912,4453
29543850,19,10,монолитный ,3-комнатные ,93.8,2 кв. 2022 года ,400,2696,-12457,997,782,932,8213
80250000,9,3,монолитный ,3-комнатные ,168.3,3 кв. 2020 года ,800,1930,-12057,431,1074,1262,8339
36521280,12,7,монолитный ,3-комнатные ,126.8,-,600,4681,-12325,1049,636,504,5139
80000000,10,2,монолитный ,3-комнатные ,126,сдан ,100,3709,-13029,643,814,136,6106
18273621,19,9,монолитный ,3-комнатные ,97.1,сдан ,1500,10241,-4011,1433,1081,584,13236
35318000,44,23,монолитный ,3-комнатные ,123,4 кв. 2020 года ,400,6837,-8342,677,981,1813,1222
13688247,25,13,панельный ,3-комнатные ,103,1 кв. 2022 года ,2700,23023,7227,915,981,3917,5842
18342493,23,20,монолитный ,3-комнатные ,74.1,сдан ,1900,12626,-2457,804,849,1179,4203
24040174,17,2,монолитный ,3-комнатные ,106.2,сдан ,2100,10960,-4734,1161,374,665,4012
23664634,20,6,кирпичный ,3-комнатные ,105,2 кв. 2020 года ,2000,10944,-4755,1014,448,570,4153
10453938,6,4,монолитный ,3-комнатные ,79.6,3 кв. 2021 года ,2100,22788,4136,1772,1755,4583,3653
10625454,14,9,монолитный ,3-комнатные ,84.1,1 кв. 2021 года ,2100,22082,3470,977,1835,4994,4604
27112896,56,40,монолитный ,3-комнатные ,144,сдан ,800,9614,-6739,618,661,1490,6290
56400000,6,4,монолитный ,3-комнатные ,149,сдан ,600,4035,-12395,935,1339,230,4988
23738911,13,10,монолитный ,3-комнатные ,98.9,сдан ,800,4678,-9316,511,771,181,11085
69932532,51,50,монолитный ,3-комнатные ,152.9,4 кв. 2020 года ,700,10388,-4555,1568,658,873,6752
