price,floors_in_the_house,floor,house_type,number_of_rooms,total_area,deadline,distance_to_nearest_metro,distance_to_center,distance_to_mkad,distance_to_green_areas,distance_to_sports_complexes,distance_to_industrial_enterprises,distance_to_treatment_facilities
14235970,7,2,кирпичный ,1-комнатные ,39,-,900,3614,-12177,735,659,334,3862
14857500,14,11,монолитный ,1-комнатные ,52.5,1 кв. 2021 года ,900,6298,-10970,486,830,577,5847
13920000,14,12,монолитный ,1-комнатные ,46.4,1 кв. 2021 года ,800,6249,-10979,544,786,597,5796
44677500,8,2,монолитный ,1-комнатные ,60,сдан ,1400,6870,-7799,1119,1023,2403,3970
340497000,8,8,монолитный ,1-комнатные ,254,сдан ,1400,6870,-7799,1119,1023,2403,3970
5300000,15,12,панельный ,1-комнатные ,38,-,2406,25090,5537,1003,325,1465,3902
4098280,9,1,монолитный ,1-комнатные ,47.1,сдан ,7155,37248,21914,6189,3320,5308,20105
4195000,9,3,монолитный ,1-комнатные ,46.5,сдан ,6999,37141,21795,6151,3129,5117,20001
3785200,9,3,монолитный ,1-комнатные ,42.9,сдан ,7093,37051,21712,6036,3185,5171,19909
3874350,9,4,монолитный ,1-комнатные ,42.7,сдан ,6933,37341,21991,6354,3146,5135,20201
4102000,9,6,монолитный ,1-комнатные ,46.5,сдан ,7093,37051,21712,6036,3185,5171,19909
4186000,9,3,монолитный ,1-комнатные ,46.4,сдан ,6933,37341,21991,6354,3146,5135,20201
49215000,12,8,монолитный ,1-комнатные ,66,сдан ,1400,6870,-7799,1119,1023,2403,3970
6858914,17,2,монолитный ,1-комнатные ,44.5,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
6537665,39,20,монолитный ,1-комнатные ,26.6,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
9050000,36,23,монолитный ,1-комнатные ,42.7,сдан ,800,12141,-5528,1031,982,1299,8240
6630000,24,14,монолитный ,1-комнатные ,35.1,2 кв. 2021 года ,100,12094,-5648,1223,820,1186,3968
6100000,11,8,панельный ,1-комнатные ,37.6,сдан ,1500,19856,1680,1119,2540,1366,13065
6250000,25,5,монолитный ,1-комнатные ,40.8,3 кв. 2021 года ,437,12283,-5411,1039,816,1236,4028
8400000,31,23,монолитный ,1-комнатные ,40.2,3 кв. 2022 года ,1100,8612,-6653,490,433,492,11046
8200000,22,4,монолитный ,1-комнатные ,54.5,4 кв. 2020 года ,1700,15154,2779,851,855,1070,3650
7500000,9,9,монолитный ,1-комнатные ,42.6,сдан ,1000,13280,-3905,1440,2180,4054,11240
6200000,15,2,монолитный ,1-комнатные ,38,2 кв. 2021 года ,2100,8952,-8312,1226,1294,1710,6879
41409200,5,4,монолитный ,1-комнатные ,45,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
60024000,5,2,монолитный ,1-комнатные ,75,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
442200000,1,1,монолитный ,1-комнатные ,551.1,2 кв. 2021 года ,400,2927,-13766,459,668,710,5817
12554402,28,2,монолитный ,1-комнатные ,43.3,2 кв. 2023 года ,1100,3782,-12495,1535,214,371,6554
30295500,5,5,монолитный ,1-комнатные ,31.9,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
30838800,5,5,монолитный ,1-комнатные ,33.2,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
45160800,5,5,монолитный ,1-комнатные ,48.6,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
12790116,28,24,монолитный ,1-комнатные ,41.4,2 кв. 2023 года ,1100,3782,-12495,1535,214,371,6554
53903000,5,5,монолитный ,1-комнатные ,56.7,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
6315136,23,14,монолитный ,1-комнатные ,36.9,4 кв. 2020 года ,700,20351,6092,2097,1178,3508,21837
100323000,5,4,монолитный ,1-комнатные ,111.5,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
26291100,5,5,монолитный ,1-комнатные ,28.3,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
8002700,33,16,монолитный ,1-комнатные ,39.5,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
4042600,3,1,монолитный ,1-комнатные ,42.9,сдан ,6606,38122,22749,7195,3236,5177,20989
4140800,3,1,монолитный ,1-комнатные ,44.9,сдан ,6606,38122,22749,7195,3236,5177,20989
9090900,33,30,монолитный ,1-комнатные ,34.6,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
5596300,22,10,монолитный ,1-комнатные ,34.7,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
37221600,5,2,монолитный ,1-комнатные ,47.7,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
6215005,14,2,монолитный ,1-комнатные ,40.1,1 кв. 2021 года ,2100,22082,3470,977,1835,4994,4604
6288868,16,2,монолитный ,1-комнатные ,42.1,1 кв. 2021 года ,2000,22245,3629,1003,1804,5098,4467
6378563,16,2,монолитный ,1-комнатные ,41.8,1 кв. 2021 года ,2100,22258,3632,1090,1884,5176,4404
5980000,22,12,монолитный ,1-комнатные ,25,4 кв. 2020 года ,1600,15008,2910,889,989,1209,3615
6130617,16,15,монолитный ,1-комнатные ,39.3,2 кв. 2021 года ,2300,22556,3908,1811,1660,4497,3782
8583267,16,3,монолитный ,1-комнатные ,43.4,4 кв. 2020 года ,2000,22943,4292,1887,1700,4512,3496
57556200,5,2,монолитный ,1-комнатные ,73.8,3 кв. 2020 года ,700,2712,-11961,358,514,345,4615
6732538,16,15,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
6742500,33,15,монолитный ,1-комнатные ,25.6,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
7500000,6,6,монолитный ,1-комнатные ,53,сдан ,3074,19418,1913,2086,470,493,4907
8356504,20,2,монолитный ,1-комнатные ,41.6,сдан ,500,11170,-6286,388,1209,825,3821
9164473,27,2,монолитный ,1-комнатные ,36.6,2 кв. 2021 года ,1800,12395,-2600,1085,590,1221,4213
7573220,17,4,монолитный ,1-комнатные ,39.9,3 кв. 2022 года ,1700,8308,-7015,334,571,381,10208
5357300,20,20,монолитный ,1-комнатные ,33,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
5452300,22,18,монолитный ,1-комнатные ,33.8,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
4762409,15,6,монолитный ,1-комнатные ,23.4,1 кв. 2022 года ,1000,20432,6216,2346,1393,3624,22021
6204052,14,2,монолитный ,1-комнатные ,40,1 кв. 2021 года ,2100,22082,3470,977,1835,4994,4604
5806844,14,9,монолитный ,1-комнатные ,32.3,1 кв. 2021 года ,2100,22082,3470,977,1835,4994,4604
6413440,16,5,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
6951107,6,4,монолитный ,1-комнатные ,43.3,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
7693658,14,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2100,22788,4136,1772,1755,4583,3653
21500000,21,17,монолитный ,1-комнатные ,53.7,-,400,4834,-11592,729,430,1065,7454
7258531,14,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
6699690,16,14,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
7286795,15,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
10445360,15,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
11500000,27,15,монолитный ,1-комнатные ,46.2,сдан ,900,5207,-8789,138,868,551,11612
5796500,12,5,монолитный ,1-комнатные ,33.7,4 кв. 2020 года ,1300,22795,7816,774,1335,3348,5788
5617851,17,3,монолитный ,1-комнатные ,34.5,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
5803813,12,4,монолитный ,1-комнатные ,34.5,4 кв. 2020 года ,1300,22795,7816,774,1335,3348,5788
6323389,12,2,монолитный ,1-комнатные ,43.2,4 кв. 2020 года ,1300,22795,7816,774,1335,3348,5788
6504901,17,3,монолитный ,1-комнатные ,40.3,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
6295495,17,3,монолитный ,1-комнатные ,26,4 кв. 2020 года ,1100,22573,7575,831,1191,3052,5534
6288607,17,1,монолитный ,1-комнатные ,43.2,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
6362145,17,2,монолитный ,1-комнатные ,39.7,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
6765243,17,3,монолитный ,1-комнатные ,42.8,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
5296822,17,12,монолитный ,1-комнатные ,25.8,4 кв. 2020 года ,1200,22739,7750,741,1312,3241,5714
6226712,23,22,монолитный ,1-комнатные ,40.7,4 кв. 2020 года ,600,20437,6167,2026,1216,3422,21884
8301512,17,3,монолитный ,1-комнатные ,44.5,4 кв. 2020 года ,1100,22573,7575,831,1191,3052,5534
8286784,17,6,монолитный ,1-комнатные ,43.2,4 кв. 2020 года ,1100,22573,7575,831,1191,3052,5534
27881121,28,28,монолитный ,1-комнатные ,73.3,сдан ,500,7886,-9490,1132,1006,833,7390
6658972,12,2,монолитный ,1-комнатные ,44.1,4 кв. 2020 года ,1300,22795,7816,774,1335,3348,5788
8064572,17,3,монолитный ,1-комнатные ,42.8,4 кв. 2020 года ,1100,22573,7575,831,1191,3052,5534
9864530,33,14,монолитный ,1-комнатные ,44.9,3 кв. 2021 года ,400,5799,-8939,2459,1046,598,8845
8031234,17,12,монолитный ,1-комнатные ,39.5,4 кв. 2020 года ,1100,22573,7575,831,1191,3052,5534
8339740,45,41,монолитный ,1-комнатные ,33.2,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
7935809,22,6,монолитный ,1-комнатные ,38,сдан ,1400,15082,1375,758,1341,1503,4986
10244030,22,6,монолитный ,1-комнатные ,38,сдан ,1400,15082,1375,758,1341,1503,4986
5844042,16,2,монолитный ,1-комнатные ,40.2,3 кв. 2021 года ,2100,22875,4223,1757,1810,4630,3616
6863932,16,16,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
7300000,30,16,монолитный ,1-комнатные ,31.4,1 кв. 2021 года ,100,16666,694,640,472,1552,7679
6436482,13,11,монолитный ,1-комнатные ,26.5,4 кв. 2021 года ,600,13007,-4582,673,1180,1077,4219
5700000,15,5,монолитный ,1-комнатные ,41.4,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
8551680,33,26,монолитный ,1-комнатные ,40.8,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
7200000,10,9,монолитный ,1-комнатные ,37.4,сдан ,1300,5997,-10347,1660,251,518,8531
9825200,23,22,монолитный ,1-комнатные ,40.6,4 кв. 2020 года ,300,7988,-8971,943,1027,1251,6698
5800000,15,14,монолитный ,1-комнатные ,40.2,сдан ,900,13188,-4044,1329,2095,3915,11101
8580240,33,27,монолитный ,1-комнатные ,40.8,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
33866087,20,20,монолитный ,1-комнатные ,68,3 кв. 2020 года ,1800,12000,-4206,655,1457,1399,5101
17230534,20,15,монолитный ,1-комнатные ,61,3 кв. 2020 года ,1600,11755,-4431,881,1484,1312,4958
8195000,38,7,монолитный ,1-комнатные ,37,4 кв. 2020 года ,600,6284,-10719,869,1166,327,7374
8255170,45,38,монолитный ,1-комнатные ,33.2,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
7077707,15,3,монолитный ,1-комнатные ,41.9,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
7104829,15,2,монолитный ,1-комнатные ,42.9,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
15980520,15,12,монолитный ,1-комнатные ,51.6,сдан ,700,7536,-8774,815,540,1319,4661
9801670,33,12,монолитный ,1-комнатные ,44.9,3 кв. 2021 года ,400,5799,-8939,2459,1046,598,8845
9707225,24,8,монолитный ,1-комнатные ,37.3,3 кв. 2022 года ,900,6074,-12234,546,444,1024,4086
5452300,22,17,монолитный ,1-комнатные ,33.8,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
13648800,25,15,монолитный ,1-комнатные ,48.4,1 кв. 2021 года ,1000,6288,-11028,474,750,652,5932
7022210,13,8,монолитный ,1-комнатные ,27.2,4 кв. 2021 года ,600,13022,-4542,757,1279,1017,4312
7105187,9,6,монолитный ,1-комнатные ,43.2,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
6572989,16,10,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
6474444,16,7,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
10906610,34,31,монолитный ,1-комнатные ,41.5,1 кв. 2022 года ,900,6588,-9691,1621,1032,445,8037
7358830,16,7,монолитный ,1-комнатные ,44.3,1 кв. 2022 года ,1900,22072,3475,776,1650,4821,4738
9790000,33,18,монолитный ,1-комнатные ,44,3 кв. 2021 года ,400,5799,-8939,2459,1046,598,8845
8346465,19,9,монолитный ,1-комнатные ,36.1,2 кв. 2020 года ,300,18763,590,1449,1026,1424,7474
3564037,14,11,монолитный ,1-комнатные ,23.1,3 кв. 2021 года ,274,28547,9490,4949,2695,1714,2694
16800000,14,14,монолитный ,1-комнатные ,52.5,1 кв. 2021 года ,900,6298,-10970,486,830,577,5847
14622800,25,20,монолитный ,1-комнатные ,52.6,1 кв. 2021 года ,900,6238,-11052,530,748,660,5871
9222900,25,15,панельный ,1-комнатные ,43.3,сдан ,800,7883,-6587,1076,502,379,14044
12334320,25,7,монолитный ,1-комнатные ,46.3,4 кв. 2021 года ,900,10938,-3863,1830,654,1444,6245
8676270,33,6,монолитный ,1-комнатные ,44.7,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
7020243,22,4,монолитный ,1-комнатные ,50.3,4 кв. 2020 года ,1700,15154,2779,851,855,1070,3650
14222340,7,3,кирпичный ,1-комнатные ,37.9,-,900,3614,-12177,735,659,334,3862
5468300,22,10,монолитный ,1-комнатные ,33.9,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
12412200,25,22,монолитный ,1-комнатные ,41.1,1 кв. 2021 года ,900,6238,-11052,530,748,660,5871
9711200,33,26,монолитный ,1-комнатные ,39.8,3 кв. 2021 года ,200,5895,-8884,2444,1110,617,8779
10098000,33,28,монолитный ,1-комнатные ,44,3 кв. 2021 года ,400,5799,-8939,2459,1046,598,8845
7657806,19,4,монолитный ,1-комнатные ,36,4 кв. 2020 года ,1600,15008,2910,889,989,1209,3615
7010104,6,2,монолитный ,1-комнатные ,46,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
10526100,29,9,кирпичный ,1-комнатные ,39,1 кв. 2021 года ,500,13348,-4577,1469,912,1115,8628
8554800,22,22,монолитный ,1-комнатные ,34.1,2 кв. 2021 года ,500,10198,-5155,2151,592,935,10982
5946788,16,13,монолитный ,1-комнатные ,39.3,2 кв. 2021 года ,2300,22556,3908,1811,1660,4497,3782
14612400,16,2,монолитный ,1-комнатные ,59.4,сдан ,1300,8682,-7047,1747,1401,999,3157
6380592,16,4,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
7190595,12,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
8676270,33,6,монолитный ,1-комнатные ,44.7,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
9476900,33,5,монолитный ,1-комнатные ,48.5,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
7960180,29,4,монолитный ,1-комнатные ,34.7,1 кв. 2021 года ,500,13380,-4552,1490,929,1121,8645
7395039,39,17,монолитный ,1-комнатные ,39.7,1 кв. 2021 года ,1100,10889,-4642,1804,1224,683,11196
23500000,2,2,монолитный ,1-комнатные ,142.6,-,500,12958,-4719,468,886,1278,3948
7926362,22,11,монолитный ,1-комнатные ,38.9,4 кв. 2020 года ,1600,15008,2910,889,989,1209,3615
6859155,13,5,монолитный ,1-комнатные ,28.6,4 кв. 2021 года ,1000,4915,-11915,1130,495,753,4880
8278280,29,27,монолитный ,1-комнатные ,34.9,1 кв. 2021 года ,500,13313,-4599,1456,905,1093,8592
6000000,23,12,монолитный ,1-комнатные ,38,2 кв. 2020 года ,300,22311,7167,1097,1514,2412,5180
9851695,22,22,монолитный ,1-комнатные ,46.6,4 кв. 2020 года ,1700,15154,2779,851,855,1070,3650
6169680,17,14,панельный ,1-комнатные ,39.6,сдан ,1100,21249,6937,1922,1901,2854,22498
7477365,20,2,монолитный ,1-комнатные ,36.2,3 кв. 2022 года ,900,14506,1778,1468,628,1047,7444
3700000,17,2,монолитный ,1-комнатные ,35.1,1 кв. 2021 года ,1900,22146,7780,1948,2389,2244,23010
13860000,58,56,монолитный ,1-комнатные ,40.1,1 кв. 2021 года ,200,6875,-10489,804,1233,558,7273
13019416,20,8,монолитный ,1-комнатные ,47,сдан ,2100,10960,-4734,1161,374,665,4012
8301800,33,21,монолитный ,1-комнатные ,40.3,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
5771194,18,8,монолитный ,1-комнатные ,32.2,4 кв. 2020 года ,1200,11040,-5354,569,946,1639,3685
5452300,22,13,монолитный ,1-комнатные ,33.8,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
6771800,39,13,монолитный ,1-комнатные ,25.8,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
12487800,20,20,монолитный ,1-комнатные ,54.4,2 кв. 2022 года ,700,7738,-8000,274,1030,446,3306
7893510,9,2,монолитный ,1-комнатные ,35.2,4 кв. 2021 года ,600,13007,-4582,673,1180,1077,4219
6022860,17,12,панельный ,1-комнатные ,39.8,1 кв. 2021 года ,1000,21124,6836,2060,1825,2958,22470
8330000,29,14,монолитный ,1-комнатные ,39.8,1 кв. 2021 года ,500,13348,-4577,1469,912,1115,8628
7076030,14,2,монолитный ,1-комнатные ,44.8,1 кв. 2021 года ,2100,22082,3470,977,1835,4994,4604
8273577,16,2,монолитный ,1-комнатные ,58.3,1 кв. 2021 года ,2100,22258,3632,1090,1884,5176,4404
6638686,16,12,монолитный ,1-комнатные ,39.2,2 кв. 2021 года ,2200,22683,4036,1892,1595,4431,3650
7415051,12,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2100,22788,4136,1772,1755,4583,3653
7394303,16,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
9331400,33,5,монолитный ,1-комнатные ,48.5,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
5353500,25,6,монолитный ,1-комнатные ,41.5,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
5418000,25,2,монолитный ,1-комнатные ,42,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
5456700,25,6,монолитный ,1-комнатные ,42.3,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
5069700,25,21,монолитный ,1-комнатные ,39.3,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
5056800,25,21,монолитный ,1-комнатные ,39.2,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
5342091,18,3,монолитный ,1-комнатные ,32.2,4 кв. 2020 года ,1100,10915,-5474,608,991,1626,3801
5250300,25,8,монолитный ,1-комнатные ,40.7,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
5224500,25,25,монолитный ,1-комнатные ,40.5,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
6100000,24,5,монолитный ,1-комнатные ,38.8,сдан ,1400,15223,1242,873,1399,1521,5033
8748000,33,28,монолитный ,1-комнатные ,40.5,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
15402000,44,36,монолитный ,1-комнатные ,45.3,сдан ,800,4042,-11724,899,710,526,3529
9446324,31,4,монолитный ,1-комнатные ,41.6,2 кв. 2021 года ,600,15418,1992,690,364,956,7528
9440250,19,11,монолитный ,1-комнатные ,40.8,сдан ,1500,10241,-4011,1433,1081,584,13236
6642750,45,41,монолитный ,1-комнатные ,25.5,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
9216200,19,3,монолитный ,1-комнатные ,40.6,2 кв. 2020 года ,300,18806,621,1379,960,1367,7461
6444000,13,3,монолитный ,1-комнатные ,27.4,4 кв. 2021 года ,600,13007,-4582,673,1180,1077,4219
4250000,17,2,монолитный ,1-комнатные ,36,сдан ,2000,22249,7911,2324,2806,1939,23304
11463600,22,17,монолитный ,1-комнатные ,46.6,1 кв. 2021 года ,600,8677,-7072,1095,1104,608,3926
5452300,22,19,монолитный ,1-комнатные ,33.8,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
5797561,25,17,монолитный ,1-комнатные ,47.3,2 кв. 2021 года ,2200,12263,-3428,2884,1264,3160,7305
11280000,25,25,монолитный ,1-комнатные ,37.6,1 кв. 2021 года ,1000,6288,-11028,474,750,652,5932
8464521,20,7,кирпичный ,1-комнатные ,36.5,2 кв. 2021 года ,800,8306,-6966,202,688,511,11190
7390000,11,9,монолитный ,1-комнатные ,45,сдан ,1200,22136,6803,571,2313,1939,5050
9181071,31,3,монолитный ,1-комнатные ,40.6,2 кв. 2021 года ,600,15418,1992,690,364,956,7528
6237808,9,7,монолитный ,1-комнатные ,39.4,1 кв. 2022 года ,1900,22072,3475,776,1650,4821,4738
8154326,26,3,монолитный ,1-комнатные ,45.5,3 кв. 2021 года ,400,12273,-5431,1046,797,1266,4005
7122709,10,6,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
6882119,16,13,монолитный ,1-комнатные ,43.1,3 кв. 2021 года ,2100,22875,4223,1757,1810,4630,3616
6900000,23,14,монолитный ,1-комнатные ,43,4 кв. 2020 года ,1100,9379,-6321,1682,1096,238,4165
12741960,35,25,монолитный ,1-комнатные ,41.4,3 кв. 2022 года ,500,5792,-9600,1110,999,742,651
5941782,18,12,монолитный ,1-комнатные ,32.2,4 кв. 2020 года ,1000,10866,-5503,567,948,1697,3875
8484000,33,26,монолитный ,1-комнатные ,40.4,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
5471030,17,6,панельный ,1-комнатные ,35.9,1 кв. 2021 года ,1000,21124,6836,2060,1825,2958,22470
5327700,25,7,монолитный ,1-комнатные ,41.3,4 кв. 2021 года ,1300,15758,2191,554,513,972,2158
8197140,33,15,монолитный ,1-комнатные ,40.6,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
6769470,33,17,монолитный ,1-комнатные ,25.4,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
8351760,33,19,монолитный ,1-комнатные ,40.8,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
5486100,22,21,монолитный ,1-комнатные ,33.8,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
10084500,33,27,монолитный ,1-комнатные ,48.6,3 кв. 2021 года ,300,5847,-8926,2420,1065,636,8775
10115930,33,22,монолитный ,1-комнатные ,45.1,3 кв. 2021 года ,400,5799,-8939,2459,1046,598,8845
14280000,24,23,монолитный ,1-комнатные ,40.8,сдан ,400,6294,-9407,1401,826,905,2507
9800000,26,4,монолитный ,1-комнатные ,41.2,4 кв. 2020 года ,700,13298,-2211,1534,378,1132,2706
6510140,39,31,монолитный ,1-комнатные ,25.5,4 кв. 2021 года ,600,12960,-4640,652,1121,1083,4182
7000000,15,3,монолитный ,1-комнатные ,46.3,4 кв. 2020 года ,600,23867,5436,1892,1134,5066,4984
19000000,21,12,монолитный ,1-комнатные ,42.3,4 кв. 2021 года ,300,2633,-11427,542,606,704,8997
6300000,30,15,монолитный ,1-комнатные ,28.8,1 кв. 2021 года ,100,16666,694,640,472,1552,7679
7500000,22,4,монолитный ,1-комнатные ,50.3,4 кв. 2020 года ,1700,15154,2779,851,855,1070,3650
5494568,14,12,монолитный ,1-комнатные ,36,3 кв. 2021 года ,2200,22099,3467,1142,1988,5141,4493
6960319,16,3,монолитный ,1-комнатные ,43.4,2 кв. 2021 года ,2100,22771,4110,1960,1545,4376,3554
6951107,6,4,монолитный ,1-комнатные ,43.3,3 кв. 2021 года ,2200,22715,4065,1791,1709,4543,3685
5065786,16,15,монолитный ,1-комнатные ,29.7,1 кв. 2021 года ,2000,22245,3629,1003,1804,5098,4467
6551848,16,11,монолитный ,1-комнатные ,39.9,2 кв. 2021 года ,2300,22556,3908,1811,1660,4497,3782
9815396,31,30,монолитный ,1-комнатные ,40.8,2 кв. 2021 года ,600,15418,1992,690,364,956,7528
9488600,33,3,монолитный ,1-комнатные ,45.4,3 кв. 2021 года ,400,5799,-8939,2459,1046,598,8845
6127335,15,2,монолитный ,1-комнатные ,38.2,1 кв. 2022 года ,1000,20432,6216,2346,1393,3624,22021
10774450,32,6,монолитный ,1-комнатные ,47.1,4 кв. 2023 года ,900,6490,-9791,1718,940,502,8125
8892645,30,22,монолитный ,1-комнатные ,39.9,1 кв. 2021 года ,200,16717,644,696,490,1566,7675
8608800,33,28,монолитный ,1-комнатные ,40.8,1 кв. 2023 года ,300,5783,-9056,2243,963,815,8599
5434400,22,3,монолитный ,1-комнатные ,33.9,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
7600000,24,11,монолитный ,1-комнатные ,50,сдан ,3966,19849,541,2243,2338,1599,11026
4197183,18,3,монолитный ,1-комнатные ,24.6,4 кв. 2020 года ,1200,11040,-5354,569,946,1639,3685
11936400,34,6,монолитный ,1-комнатные ,40.6,1 кв. 2022 года ,900,6588,-9691,1621,1032,445,8037
9785880,33,18,монолитный ,1-комнатные ,44.2,3 кв. 2021 года ,300,5825,-8930,2439,1056,615,8809
11649210,35,1,монолитный ,1-комнатные ,43.6,3 кв. 2022 года ,500,5792,-9600,1110,999,742,651
13900112,21,9,монолитный ,1-комнатные ,46.1,сдан ,600,5054,-11241,982,191,1332,4468
9443880,14,4,монолитный ,1-комнатные ,42.5,3 кв. 2022 года ,400,5842,-9591,1220,950,839,572
6237500,17,17,монолитный ,1-комнатные ,39.7,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
6362300,15,12,монолитный ,1-комнатные ,40.5,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
6877800,17,17,монолитный ,1-комнатные ,39.5,2 кв. 2021 года ,1300,18388,2752,2708,1222,3004,1377
13380565,21,13,монолитный ,1-комнатные ,45,сдан ,600,5064,-11304,931,297,1213,4593
5474979,18,3,монолитный ,1-комнатные ,32.2,4 кв. 2020 года ,1100,10915,-5474,608,991,1626,3801
15257500,22,21,монолитный ,1-комнатные ,55.3,сдан ,1000,5449,-8563,727,127,601,11387
8200000,38,7,монолитный ,1-комнатные ,37,4 кв. 2020 года ,600,6284,-10719,869,1166,327,7374
7480200,17,5,монолитный ,1-комнатные ,41.1,3 кв. 2022 года ,1700,8308,-7015,334,571,381,10208
5977650,17,3,монолитный ,1-комнатные ,39.5,1 кв. 2021 года ,1000,21124,6836,2060,1825,2958,22470
6474112,19,6,монолитный ,1-комнатные ,42.8,1 кв. 2021 года ,1400,9299,-8319,792,918,1273,1056
9028000,33,27,монолитный ,1-комнатные ,37,3 кв. 2021 года ,200,5895,-8884,2444,1110,617,8779
12003360,35,1,монолитный ,1-комнатные ,44.1,3 кв. 2022 года ,500,5792,-9600,1110,999,742,651
5486100,22,20,монолитный ,1-комнатные ,33.8,4 кв. 2022 года ,1200,18297,2619,2864,1373,3202,1210
19631030,7,3,кирпичный ,1-комнатные ,56.2,-,900,3614,-12177,735,659,334,3862
